Group,class,class2,augmen2,Latitude,Longitude,DENSITY,LnDENSITY,npp,biodiv,pathos,npp22,biodiv2,DivDiff
Karuna,1,0,1,-34.56,138.4,0.18,-0.744727495,689.046318,0.245220456,-0.46674063,474784.8283,601.33,0.034779544
Wongaibon,1,0,2,-32.14,146.09,0.0512,-1.290730039,737.6314654,0.197489977,-0.451789249,544100.1787,390.02,0.082510023
Jaralde,1,0,1,-35.06,139.29,0.4,-0.397940009,620.5335338,0.230888451,-0.468474245,385061.8666,533.09,0.049111549
Mineng,1,0,3,-34.95,117.81,0.07,-1.15490196,1275.673932,0.224500472,-0.252335812,1627343.981,504,0.055499528
Tjapwurong,1,0,1,-35.86,141.38,0.35,-0.455931956,689.046318,0.217837799,-0.472462507,474784.8283,474.53,0.062162201
Kurnai,1,0,,-37.59,147.42,0.177,-0.752026734,1266.489941,0.264162299,-0.483110596,1603996.771,697.82,0.015837701
Tasmanians (western),1,0,1,-41.38,145.21,0.1335,-0.874518734,1397.485058,0.190358424,-0.494914132,1952964.487,362.36,0.089641576
Seri,1,0,1,29.59,-112.18,0.2548,-0.593800576,282.5979678,0.17982893,-0.427364004,79861.6114,323.38,0.10017107
Cahuilla,1,0,2,33.59,-116.24,0.4375,-0.359021943,262.677402,0.191043103,-0.61249343,68999.41752,364.97,0.088956897
Cupeno,1,0,2,33.26,-116.59,0.488,-0.311580178,902.5626528,0.217083213,-0.599240244,814619.3422,471.25,0.062916787
Kiliwa,1,0,1,31.44,-115.25,0.1225,-0.911863911,242.6108037,0.174001369,-0.522716516,58860.00207,302.76,0.105998631
Diegueno,1,0,1,32.44,-116.49,0.181,-0.742321425,672.1053191,0.207970284,-0.567328947,451725.56,432.52,0.072029716
Lake Yokuts,1,0,1,36,-119.83,0.381,-0.419075024,316.6653628,0.219833805,-0.682127272,100276.952,483.27,0.060166195
Wukchumi,1,0,1,36.45,-118.96,0.2421,-0.616005211,969.7066527,0.247982271,-0.702817975,940330.9923,614.95,0.032017729
Nomlaki,1,0,1,40,-122.56,0.6944,-0.158390288,1121.464867,0.250605987,-0.802374446,1257683.448,628.03,0.029394013
Patwin,1,0,1,39.08,-122.05,0.82,-0.086186148,761.5396436,0.24810797,-0.776405452,579942.6288,615.58,0.03189203
Monache,1,0,2,36.6,-117.08,0.287,-0.542118103,162.7471189,0.167183975,-0.721036086,26486.62471,279.5,0.112816025
Chimariko,1,0,3,40.85,-123.3,0.5,-0.301029996,1230.700635,0.273225986,-0.834797659,1514624.053,746.52,0.006774014
Miwok (Coast),1,0,2,38.24,-122.88,0.5357,-0.271078354,1451.528541,0.288343988,-0.750114086,2106935.105,831.42,0.008343988
Mattole,1,0,1,40.17,-124.04,1.164,0.06595298,1468.729531,0.265913656,-0.812731367,2157166.435,707.1,0.014086344
Miwok,1,0,2,38,-119.77,0.2454,-0.610125442,1222.072625,0.253979926,-0.749238435,1493461.501,645.06,0.026020074
Yuki (Coast),1,0,1,39.64,-123.74,0.6696,-0.174184555,1540.115432,0.282306601,-0.790653929,2371955.544,796.97,0.002306601
Klamath,1,0,1,42.62,-121.5,0.1336,-0.874193542,805.6885905,0.24546274,-0.869820345,649134.1049,602.52,0.03453726
Guaicura,1,0,2,25,-111.54,0.06,-1.22184875,235.2774436,0.150222441,-0.274040854,55355.47547,225.67,0.129777559
Chichimec,1,0,1,22,-100,0.09,-1.045757491,864.6207007,0.299877067,-0.018746568,747568.9561,899.26,0.019877067
Death Valley,1,0,1,36.52,-116.81,0.0129,-1.88941029,211.3090598,0.164160712,-0.72379418,44651.51875,269.49,0.115839288
Karankawa,1,0,1,28.44,-96.91,0.21,-0.677780705,1411.960417,0.286952188,-0.2523755,1993632.219,823.42,0.006952188
Coahuilenos,1,0,,26,-102.07,0.0168,-1.774690718,457.173421,0.205038002,-0.185583392,209007.5369,420.41,0.074961998
Panamint Shoshoni,1,0,1,36.37,-117.33,0.0212,-1.673664139,320.2264661,0.17829453,-0.713886044,102544.9896,317.89,0.10170547
Yavapai,1,0,1,33.37,-110.5,0.0148,-1.829738285,699.7627066,0.251344286,-0.595698018,489667.8455,631.74,0.028655714
Koso Mountain Shoshoni,1,0,1,36.12,-117.7,0.0857,-1.067019178,430.0144183,0.194976853,-0.698304643,184912.3999,380.16,0.085023147
Walapai,1,0,1,35.95,-114.5,0.0386,-1.413412695,273.5612003,0.188258976,-0.722568753,74835.73031,354.41,0.091741024
Kawaiisu Shoshoni,1,0,1,35.37,-118,0.119,-0.924453039,286.2042825,0.186344404,-0.673277071,81912.89132,347.24,0.093655596
Saline Valley Shoshoni,1,0,1,36.65,-117.79,0.0232,-1.634512015,416.3263315,0.194444598,-0.715928888,173327.6143,378.09,0.085555402
Anotarianunt Southern Paiute,1,0,1,37.86,-110.72,0.0345,-1.462180905,520.5313364,0.205622809,-0.79441764,270952.8722,422.81,0.074377191
Owens Valley Paiute,1,0,1,36.88,-118.18,0.3804,-0.419759492,414.6102025,0.223552901,-0.724020379,171901.62,499.76,0.056447099
Kawich Mountain Shoshoni,1,0,1,37.92,-116.45,0.0199,-1.701146924,474.0018573,0.168457083,-0.769793846,224677.7607,283.78,0.111542917
Kaibab Southern Paiute,1,0,1,36.9,-112.55,0.0371,-1.43062609,538.5753984,0.20415451,-0.773675555,290063.4598,416.79,0.07584549
